;userName;score;at;content
35;Keyko Asri Septiani;5;23/11/2022 02:04;Its really useful when your body is really sick but you cant go to the doctor. When you have no time to buy medicine or consult or test lab.
36;Najikha Tsuroyya;5;22/11/2022 22:01;cepat, ramah, helpfully
37;Viska H;2;22/11/2022 19:48;Mudah dpt dokternya, tp kalo perlu obat tengah malam, sangat sulit. Katanya sdh dpt kurir, hampir 1 jam tetap tdk bs dilacak. Tp konfirmasi sdh dpt kurir. Mau dibatalkan tdk bisa padahal obatnya sangat diperlukan
38;Ricky Tjahjono;5;22/11/2022 15:01;Practical and available when needed
39;Adytia Putra;5;22/11/2022 14:25;Keren
40;dian;5;22/11/2022 12:31;Karena fiturnya udah lengkap jadi gaperlu download app lain lg, sampai cek bmi punn bisaa disini
41;atoi bukhari;1;22/11/2022 09:12;Ribet bgt ya. Bolak balik perbarui keranjang, update toko, ganti alamat. Mending benerin dulu deh user experience nya.
42;rini sulistyowati;5;22/11/2022 08:17;Mudah digunakan, respon cepat
43;Nuzulia Farhati;5;22/11/2022 07:42;Dokternya sangat helpful n aplikasi user friendly...sukses terus halodoc..senang berobat di halodoc
44;Dendy;5;22/11/2022 05:55;Mudah & cepat
45;Posan Rani;1;21/11/2022 23:24;Pesan obat hari ini lewat halodoc karena terpaksa sekali. Kembali dibatalkan sepihak, sehingga saya tidak dapat resep lengkap
46;Wendy Meudita;5;21/11/2022 20:25;Helpfull
47;Ibrahim Junior;1;21/11/2022 17:00;Pelayanan buruk, saldo sudah 2x tertarik tetapi status pembayaran gagal. Pembohongan publik, padahal sedang urgent
48;jessica fatharani;1;21/11/2022 14:37;THE LOCATION ISSUE WHEN YOU INPUT ADDRESS PROPERLY BUT THE POINT ISN'T, YOU SHOULD PICKUP BY YOURSELF TO TAKE WHAT YOU ORDER IT HAPPENED TWICE
49;Cornelia Retno;5;21/11/2022 12:16;Simple and effective
50;Lundy Harwati;5;21/11/2022 11:52;tanggapan cepat dan jelas.
51;Akmilia Leontin;1;21/11/2022 08:42;Gak bisa lacak pengiriman obat, harus hubungi CS-nya! Sebelum sama CSnya puh harus chat dgn Virtual Assistant! Setelah chat dgn CS pun, jawabannya standar kurang lebih seperti chat dengan robot! CS tidak standby 24 jam ya, jadi kalo mau cancel apapun pas malem² goodluck! GAK AKAN BISA!... List Dokter gk update! Terlalu mahal!
52;Yi Ling;5;21/11/2022 07:04;Pelayanan baik dan cepat
53;Rudy Thiara;1;21/11/2022 03:57;Pengiriman lambat, Sangat ribet untuk melakukan cancel/perubahan alamat atau pengiriman.
54;Yudia Surya;4;21/11/2022 03:04;Jelas konsulnya
55;Agung Budiman;5;21/11/2022 02:32;Sangat membantu
56;GR Palupi;5;21/11/2022 01:52;Fast respon..
57;Aprili Mutarie;5;21/11/2022 00:26;It's helpfulllll
58;Sur Jan;5;20/11/2022 23:20;Good
59;Ikko Novia;5;20/11/2022 08:19;Cukup membantu krn mudah utk konsultasi kapan saja
60;Omar Alatas;5;20/11/2022 06:56;This is apps functionality is amazing and sooooo useful
61;Dita Puspa Adriany;1;20/11/2022 04:29;kecewa dengan pelayanan dokter dan CS nya. Ga bisa diandalkan juga untuk emergency di saat covid lagi tinggi. Payah! 👎🏻👎🏻👎🏻
62;Joko Chan;1;20/11/2022 04:17;Pencarian obatnya sangat tidak akurat, uninstall
63;MaseKorner Presents;5;20/11/2022 03:06;Sangat membantu..
64;Fikri Nurohman;4;20/11/2022 02:36;keren tp gagal mulu klo top up
65;Veronika Lilianiwati;5;20/11/2022 02:18;Mudah digunakan dan berguna
66;Adhi Kaka;5;20/11/2022 02:13;Good aplication for health
67;Andien Anggreni;5;20/11/2022 01:04;Dr. Rahmat bagus
68;Hery Prihartanto;5;19/11/2022 22:23;Sangat bermanfaat saat urgensi
69;fahri akbar;5;19/11/2022 17:02;Very reliable buat beli obat malem2
70;Azzahra Nanda Islami;5;19/11/2022 16:45;Okay. Ngebantu bgt utk konsul ke dokter dan beli obat.
71;Hugo Wright;5;19/11/2022 16:04;Very easy to use. Wished the rating become a star or something. There are times when a doctor could do better, but they did a good job. Do I give them a thumbs up or thumbs down for the feedback?
72;Muhamad Abiyyu Zehan Aqila;2;19/11/2022 10:22;banyak bug, sering banget error pas mau beli obat
73;Novandiet;5;19/11/2022 00:53;Nice feature, mechanism, and easy to use.
74;Steffiany Liu;5;18/11/2022 13:40;Helpful
75;Vincent;5;18/11/2022 13:25;Aplikasi bekerja dengan baik. Dan lancar, pelayanan Dokter juga cepat. Terimakasih banyak
76;pramaditya;4;18/11/2022 12:50;Ok
77;Indra JP;1;18/11/2022 12:34;Aplikasi ribet
78;wita snm;1;18/11/2022 10:23;Gak Jelas, ribet bgt udah pakai resep dokter juga gak bisa di beli obat nya. Ribet bgt App beda sama yg dulu.
79;Jeany Oktavia Wijaya;5;18/11/2022 08:02;Bantu banget buat penanganan cepat
80;Lia La Gosse;5;18/11/2022 06:46;My life is easier with HaloDoc ❤️
81;Asmodeus Asmoday;5;18/11/2022 02:31;Muantep, jadi ga antri2 lagi kalo mau minta resep
82;Maya Ayam;5;18/11/2022 01:28;Good ❤️⭐⭐⭐⭐⭐
83;Nana Retnadi;5;18/11/2022 00:47;Dokternya baik dan sabar. Terima kasih
84;Mulyadi S kahar;4;17/11/2022 15:39;kalo dada terasa sakit berapa tablet cedocard boleh diminum ( dibawah lidah)
85;Lia Pratami;5;17/11/2022 12:59;Respon cepat dan baik
86;Crosstar Gmail;5;17/11/2022 12:58;Sangat Membantu
87;Betty Syibu;5;17/11/2022 12:46;Selalu cepat
88;Andreas Sik;5;17/11/2022 11:30;Cepat & terjangkau biayanya.
89;Oktoryan Taufandi;5;17/11/2022 10:34;User friendly
90;Fajar Santoso;5;17/11/2022 07:42;sangat membantu
91;Wanda Anindya;1;17/11/2022 07:18;I have just deleted my account and uninstalled this app. You better delete all my details in your database, as you and I are the same: we don't want me to bring lawsuit into this, so you better delete all the data you have on me in your system. Yes, your app, products, and services have disappointed me that much. also, people, do NOT waste your time on this app. try the alternative (al******r). good riddance
92;Linda Ong;1;17/11/2022 06:27;"Ini app bs dijadiin contoh utk kedepan jgn sembarangan kasih semua jenis dokter sembarangan kerja. Aku pernah konsultasi sekali sama dokter yg katanya udh ""berpengalaman"" ternyata kagak"
93;Wolf Shield;5;17/11/2022 04:52;Oke lah. Awalnya saya merasa ribet dengan sistem langganan obat nya dari seting perminggu/perbulan, pembayaran yg cuma bisa gopay/ kartu kredit, & harus konsul digital gratis buat dapatin resep obat ( Walau aku sndiri punya copy resep & udah ku upload resepnya). Tp akhirnya coba adaptasi sama sistemnya & bisa juga.
94;Veronica Mp;5;17/11/2022 02:10;Mudah digunakan
95;Lia Oktaviani Amirah;5;17/11/2022 01:07;Always helpfull
96;Leli Nurlaeliyah;5;16/11/2022 23:29;Very good Apps
97;Otavio Hornay;5;16/11/2022 15:55;Terima kasih ibu Dokter Aplikasi sangat membantu kami tapi kami Dari Timor-Leste tidak boleh akses aplikasi
98;Vanroyen Ante;1;16/11/2022 10:09;Tidak usah pake aplikasi ini Scam dan mengambil uang costumer ! 8 October Memesan Obat saya refund tapi tidak pernah menerima refundnya , dan terjadi kedua kali 16 november Disuruh di batalkan pemesaanan saya karena driver tidak bisa dihubungi! Kata costumer service disuruh menghubungi pihal bank untuk menanyakan dananya? 😢27 rebu disuruh check ke bank ? Plus skrg 37 rebu ? Sehat?
99;johnkenneth purnama;5;16/11/2022 05:49;mudah, simpel
100;Waone Shipping;5;16/11/2022 05:41;Nice assistant
101;Fathia Rizky T;1;15/11/2022 14:04;Parah sih halodoc, order dari BSD apotik terdekatnya BLOK M !!! KASIAN WOI DRIVERNYA, terdekat tuh SERPONG GADING SERPONG BUKAN BLOK M . BUSETTTT .. coba deh bagian IT nya benerin sistemnya , kasian driver ama customer lainnya .
102;Kania Lenggani;5;15/11/2022 11:16;Sangat membantu dikala sakit ga ada yg anter ke klinik hehee
103;anita saputri;5;15/11/2022 11:00;Very helpful
104;Ika Polosoro;5;15/11/2022 11:00;Dokternya sangat cepat tanggap
105;Property Plus;2;15/11/2022 09:07;Pesan ga berhasil-berhasil, sudah pesan dapat driver tapi tiba-tiba dibatalkan, status orderan sudah dibatalkan saldonya ga balik-balik Masih nyangkut di orderan
106;Muhammad Adnan;5;15/11/2022 08:12;Sesuai Ekspektasi Guys
107;Nurmilah Shameer;5;15/11/2022 07:58;Sangat membantu..thank para dokter di halodoc
108;rhesa jairus;1;15/11/2022 04:50;app payah, pesen obat panadol anak kunyah perlu urgent, pesen di jakarta barat malah di kirim dari bogor 3 hr baru sampe. minta cancel gak bisa. pesen 2 di kirim 1. macam mana sistem app nya sistem maksa kah? anak saya akhir nya saya bawa ke rs sudah. sudah baikan, obat br dtg. KONYOL.
109;Kenny;5;15/11/2022 03:58;Sangat membantu, apalagi selama masa pandemi.
110;Endah Sasmita;5;14/11/2022 23:10;Jadi, gampang untuk early detection tanpa perlu ngantri ke rumah sakit.
111;maulidiani anisha s;5;14/11/2022 14:16;Sangat membantu, dokter ramah, lengkap mulai dr resep, surat diagnosa hingga surat sakit
112;Maria Manuela Wahyudi;5;14/11/2022 13:11;Memudahkan pasien
113;muhammad irvan;1;14/11/2022 10:06;Worst of the worst app i've ever known.
114;Emelia panambunan;5;14/11/2022 09:57;Sangat membantu
115;doni suryantoro;1;14/11/2022 09:19;Data error. Limit asuransi masih banyak, dibilang sudah habis. Sudah chat CS nggak ada solusi
116;Adi Saputra;5;14/11/2022 07:22;You guys are GREAT! Thanks for saving her
117;Zaky AThori;4;14/11/2022 04:19;Payment nya ribet ,gagal berkali-kali
118;Rifqi Septiano Halim;1;14/11/2022 04:16;Tidak bisa pesan obat padahal sudah upload resep. Dipaksa konsultasi
119;Hanna Dwipaningtyas Tinambunan;5;14/11/2022 00:56;Konsultasi onlen dan cepat 👍
120;Grace El Dora;5;13/11/2022 23:47;Bagus. Cepat dan sangat membantu
121;Hadi Purnomo;5;13/11/2022 17:12;Order jam 11 malam pun diterima dan diantar.
122;Shinta Nico;5;13/11/2022 16:47;1000 jempol pokoknya 👍👍👍
123;Dewi Erlianasari;3;13/11/2022 13:00;Kenaoa dokter yg tercover insurance saya tetap tidak muncul?
124;Stella Bernadette;4;13/11/2022 11:38;Bagus semua. Tp kl mau upload foto/dokumen langsung nge-bug
125;Johan Annes;5;13/11/2022 09:12;good
126;Yully Lubis;5;13/11/2022 07:37;Great...
127;Bheta;5;13/11/2022 07:11;Sangat membantu
128;Nick Budianto;5;13/11/2022 02:29;Best app, very recommended👍
129;Elditya Richard;1;12/11/2022 22:19;SUDAH MASUKKAN NOMOR TELPON DENGAN BENAR, TAPI KODE VERIFIKASI GA DATENG2, BAIK SMS MAUPUN VIA CALL.
130;Nopyadi;1;12/11/2022 15:55;Docter spesialis slow respon Pihak apoteker minta pembatalan pesanan dengan alasan mau tutup. It's so stupid & not recommended.
131;erlisa lie;5;12/11/2022 14:41;Sdh bbrp x menggunakan aplikasi ini, ke dktr umum, dktr internis & dktr kulit.. Semua dktr yg pernah sy konsultasi ramah & beri penjelasan yg mudah dimengerti.. Terbantu banget dgn adanya apilkasi ini..
132;SW wnrko;5;12/11/2022 14:33;ok
133;Astari Sirila;1;12/11/2022 13:52;Double order krn ada bug awalnya tertulis pembayaran tidak berhasil. Ketika mau dicancel (tdk sampai 1 menit dari order ke-2) berulang kali diinfo cancel failed. Hubungi CS tidak langsung ditanggapi padahal hanya minta untuk dibatalkan. Sampai akhirnya status order keburu berubah menjadi pengiriman dan tidak lagi bisa cancel.
134;Salwa Muniroh;3;12/11/2022 12:05;Lamban
135;Arif Ginanjar;5;12/11/2022 11:11;Terimakasih halo doc
136;Syeina Chandrakasih;5;12/11/2022 10:51;Penjelasan dokter sangat jelas
137;Vinsensius Angelo;2;12/11/2022 06:02;aplikasi sudah cukup baik. Namun akan lebih bagus jika transaksi pembelian item kesehatan disertai input catatan (notes) , usahakan tidak memaksa user menggunakan GPS di awal buka aplikasi, dan betapa sulitnya melihat tracking pengiriman (shipper.id tidak menyediakan fitur track nomor resi). thanks
138;Ryan Rukman;5;12/11/2022 05:51;Mantaap
139;Bagus Julianto;1;12/11/2022 03:14;Tidak memeliki sistem/alur layanan keluhan atas transaksi yg bermasalah, respon keluhan atas transaksi yg bermasalah sangat lambat, sangat minim informasi/tidak adanya kejelasan status tindak lanjut keluhan. Hal tsb sangatlah mengecewakan dan semoga bisa mencontoh aplikasi lainnya yg jauh lebih baik dlm hal manajemen keluhan customers.
140;Herdi Boy;5;12/11/2022 02:58;Aplikasi cukup user friendly, mudah digunakan
141;Gabriel Steven;5;12/11/2022 02:14;Mempermudah pemeriksaan walaupun dengan chat saja, ke klinikpun biasanya hanya ditanya seperti ini.
142;Anonim saja;1;11/11/2022 13:04;Tidak sengaja menekan lanjut konsul menggunakan Gopay, gopay langsung dipotong tanpa tanya PIN bahaya sekali aplikasi ini
143;Priyo Sembodo;1;11/11/2022 12:19;Di app ini sekarang tidak bisa isi saldo halodoc. Penggabungan saldo gopay tidak bisa karena OTP tidak pernah masuk padahal saldo cukup. Help tidak berguna. No kontak tidak diangkat, kemana CS-nya? Hari ini 11-11-2022. Tiga kali saya chat dokter, pakai menu pembayaran kartu kredit (karena saldo halodoc kurang dan tidak bisa diisi, dan OTP Gopay tidak pernah masuk). Setelah proses pembayaran selesai, dokter tidak tersedia. Saya tlp CS jawabnya dicoba lagi saja chat dgn dokter. TOLOL kalian.
144;sheren virginia;5;11/11/2022 12:13;good application, so helpfull
145;ayudiahnkh 25;5;11/11/2022 10:25;it helps a lot.
146;Johannes Clinton;1;11/11/2022 09:31;Aduh gimana ini app parah banget, baru nyoba pertama kali dan udah bayar tapi pembayaran dibilang gagal padahal saldo sudah terpotong.
147;rini sajoto;5;11/11/2022 08:47;Helpful and efficient.
148;Father's Heart;2;11/11/2022 07:09;I dont use anymore because apps always ask location/place. My loc always off. Why apps have to?
149;Suryadi Damanik;3;11/11/2022 03:24;Mantap hanya saja ongkos kirim obat gak dicover asuransi
150;Surti Ningsih;5;10/11/2022 14:16;Aq suka
151;Husni Pratama;5;10/11/2022 13:55;Keren!
152;Elize Wib;5;10/11/2022 10:12;Good. Very helpful.
153;Ahmad Nafi;5;10/11/2022 04:02;Ntap
154;Kurniawan Pribadi;5;10/11/2022 02:31;Bagusss bgt
155;awal wahyu;5;09/11/2022 14:19;Sangat membantu disaat darurat dan aplikasinya mudah saat digunakan
156;Poppy Ardhyani;5;09/11/2022 14:16;Lancar, riil, berguna banget.
157;dongkrak buaya;5;09/11/2022 13:52;Good
158;Alfonso Hartanto;1;09/11/2022 12:09;Maaf kasi bintang 1. Pesan 3x selalu dibatalkan. Sampai apotik telpon kalau stok habis tapi masih masuk order terus.
159;Rosi Salsabiila;5;09/11/2022 11:48;Good
160;Ali Usman;5;09/11/2022 11:17;Good apps
161;Rama Klokke;5;09/11/2022 09:52;Solusi untuk kecepatan mendapatkan penanganan tenaga medis jatak jauh.
162;anggi damayanti;5;09/11/2022 09:37;Very usefull
163;Clara Francisca;3;09/11/2022 09:32;Flaws in flow to buy medicine. Generally this apps conveniently helps you when you're unhealthy but to lazy to go to the doctor. But the flow to buy medicine is truly bad, you've received prescription from the doctor but before you purchase it the system directs you to consult with another doctor, then you got stuck in the process
164;Istikomah;5;09/11/2022 06:37;Mudah banget
165;Iwan Setiawan;5;09/11/2022 03:29;very easy to find what I'm looking for about medicines just click
166;Yusup Bachtiar;5;09/11/2022 03:20;Sangat membantu sekali terutama untuk konsultasi awal & pemesanan obat
167;Akbar JUNUS;5;09/11/2022 02:14;Good.
168;Mulya Rattan;5;09/11/2022 01:52;Sangat mudah!!!
169;Febriana Rosita;5;09/11/2022 01:28;Membantu mendapat jawaban yang jelas dari dokter meski di rumah saja
170;Arijanto Wiria Kusuma;5;08/11/2022 22:38;Dokternya ramah, penjelasannya jelas. Saya hubungi pagi hari bisa. MANTABSSS
171;Ridha Pangastuti;1;08/11/2022 16:58;Dokternya slow respon 😂
172;andrea lyvan;4;08/11/2022 12:26;Waktu pas pakai kode vaucher isoman dokternya gak respon2, jd terpaksa ulangi lg dan harus bayar. Itu saja sih. Yg lain no problem
173;Nia Kurnia Widyaningsih;5;08/11/2022 07:49;Cepat
174;Elisabeth Clara;5;08/11/2022 06:34;Very helpful when I'm in mess
175;dessy luq;5;08/11/2022 04:15;Sangat membantu
176;Adrie Maulana;5;08/11/2022 01:42;Sangat membantu
177;intan kumala;5;08/11/2022 00:00;Very helpfull
178;Angel;5;07/11/2022 12:50;verigud
179;Connie S.;5;07/11/2022 12:24;Selalu bisa diandalkan. Dokter2 online nya bisa di percaya
180;Yudhistira Dwitama;5;07/11/2022 10:52;Sangat membantu
181;Eddi Firmansyah;5;07/11/2022 09:48;Sangat sangat membantu disaat butuh obat darurat di waktu tertentu tanpa harus keliling cari apotek.
182;Stella Patricia;1;07/11/2022 08:09;Aplikasi ga jelas. Aneh. Tolol banget susah cari dokter, bayar jg ribet.
183;Rizka Ika;5;07/11/2022 05:40;So far i am oke with this apps
184;Jonathan;1;07/11/2022 04:49;tolong koordinasinya sama driver gojek, main lempar2an tanggung jawab. drivernya cuma nongkrong doang. dipersulit dalam pembuatan laporan ganti driver . lapor cs cuma di read doang
185;dede rahmat;4;07/11/2022 01:48;Aplikasi bagus dan praktis, sayang obat yg hrs dng resep dokter dibatalkan oleh rekanan apotek, hrs ulang lg dari awal chat dokter, sbg konsumen merasa dirugikan, hrsnya bisa pesan ulang resep
186;Risma Budiyani;5;06/11/2022 23:02;Efektif dan efisien
187;Muhamad Andri;4;06/11/2022 22:31;Aplikasi berjalan dengan baik dan cukup responsif.
188;Q Band;5;06/11/2022 14:24;Sangat membantu
189;Cahyanto Grahana;5;06/11/2022 13:54;Sangat puas pelayanan profesional
190;Puji Lestari;1;06/11/2022 12:22;Kronologi 1. Pesen untuk alamat A. Dicancel driver terus 2. Pesanan dicancel otomatis 3. Klik button pesan ulang. Alamatnya GA OTOMATIS pake alamat A lagi 4. Saat sadar salah alamat, GABISA GANTI ALAMAT, dan GABISA DICANCEL 5. Pesanan dikirim ke alamat yang salah Sekian pengalaman saya pesen obat di halodoc. Abis nyampe langsung saya uninstall aplikasinya
191;RIKA LEE;5;06/11/2022 12:21;Easy to use and very user friendly
192;Al mega;3;06/11/2022 12:04;tlng kalo bisa type pembayaran bisa pakai VA juga. untuk skrng agak ribet, contoh orng lagi sakit lagi baringan, trus mau pembayaran konsultasi dokter harus bangun dulu ambil dompet buat liat kartu debit, krn ga punya aplikasi pembayaran lain. thanks.
193;Isfan Fajrin;1;06/11/2022 08:15;Failed to consult with a doc, yet ye still keep my gopay balance FiretrUCK U.
194;Rini Fitriani;5;06/11/2022 07:23;Sangat membantu biar gak perlu muter2 ke apotek 👌
195;Adi Mustopo;5;06/11/2022 03:09;Ramah dan nyaman berkonsultasi
196;Susanty Liauw;2;06/11/2022 02:18;Sy mau konsultasi...byr dg gopay.. sdh sy top up Tp diaplikasi saldo sy gk bertambah... Uda bbrp kali dicoba..
197;Monica Dyah Setyawati;5;06/11/2022 02:10;Sangat membantu Dan dapat terhubung langsung ke asuransi saya
198;ardela wati;5;06/11/2022 00:04;Sangat bermanfaat 👌
199;Sunan Aji;5;05/11/2022 14:10;Sangat bermanfaat untuk memudahkan mendapatkan obat yang sesuai karena terlebih dahulu ada komunikasi saran dari Dokternya.. Terimakasih Halodoc, Good Application
200;Higinus Endress;5;05/11/2022 08:04;Easy to use, and very helpful.
201;Amanda Krisa;5;05/11/2022 06:10;Love this
202;Ferryal vardah salim;5;05/11/2022 03:20;Bagus
203;Raka Ferdian;5;05/11/2022 01:53;Sangat terbantu jikalau kondisi tidak bisa keluar, sejauh ini dapat dokter yang cocok.
204;hendra setiawan;5;05/11/2022 01:17;the best.. 👍🏻👍🏻👍🏻
205;Rina Amalia;5;05/11/2022 01:12;Pelayanannya dan produknya ok, dokternya ramah, pengantarannya cepat. Perfect
206;Raditya B. Zoelkarnain;1;05/11/2022 00:25;Ketika saya mencoba login, kode verifikasi tidak kunjung dikirimkan melalui SMS. Setelah saya coba beberapa kali untuk mengirimkan ulang kode verifikasi, akses login malah diblokir selama satu jam karena dianggap spam *kode verifikasi yang sudah expired akhirnya masuk menumpuk ke SMS saya 30 menit kemudian *saya sedang berada di luar ruangan dengan jaringan sinyal baik
207;Sulastry;5;04/11/2022 23:41;Membantu sekali disaat urgent
208;Bernardus Calvin;5;04/11/2022 13:34;Sangat membantu untuk pasien yang butuh obat segera
209;rikana luna;5;04/11/2022 08:42;Dokter menjawab dengan ramah, baik, dan jelass.
210;izn putra;1;04/11/2022 06:06;Tidak ada perubahan aplikasi yang bug
211;Phung Mariati;5;04/11/2022 03:41;Penanganan dan reply dari dokter sangat cepat. Dokter juga ramah, baik dan cukup profesional. Terima kasih
212;benny sudarman;5;04/11/2022 03:06;Sangat membantu dan mudah cara pakainya.
213;Shelly Salfatira;2;03/11/2022 23:42;Been using this for the past years and hoping there'll be some improvements, but unfortunately ain't happen in my cases, ever. 1. Harusnya kasih tahu lokasi apotek tempat beli obat+live chat bantuan. Udah hampir seminggu beli obat, belum sampai, gabisa live tracking. 2.Cuma sekitar 30℅ dari pengalaman konsul saya nyaman dan engga ditinggal sama dokternya lama, meanwhile batas chat cuma 30 menit. Daripada 1 dokter handle beberapa orang sekaligus, better 1 dokter 1 pasien for the whole 10 mins.
214;nuzirwan aliwarga;5;03/11/2022 13:14;Biasa pakai ini soalnya dr ktr jg wajib pakai ini. Doktr nya beragam dan bs cek spesialis juga, obat termasuk dan bs liat harga. Aplikasi ok tp memang ongkirnya mahal 20rb an
215;Nuzulya Safitri Ilahude;5;03/11/2022 13:02;Salah satu aplikasi telemedisin terbaik. Fiturnya semua oke, tapi please, tambahkan fitur untuk memberi tip bagi pengantar obat. Pemesan tidak bisa memberi tip, walau sudah bolak balik buka history GoSend, atau Riwayat Pemesanan di Halodoc.
216;Runi;5;03/11/2022 12:43;More user-friendly, especially the consultation part. Thumbs up!!
217;Deviana Susilo;5;03/11/2022 12:27;Always fast respon best solution thank you halodoc 👍🏻
218;Ayu sekar Rini;5;03/11/2022 12:22;pelayanan yang baik dengan dokter berpengalaman
219;kharis prakoso;3;03/11/2022 12:12;Tidak friendly user, kalau order obat halo doc selalu diarahkan pesan berhari hari, orang sakit pesan obat itu buru2 bukan disuruh menunggu. Kalau pesan obat lewat gojek yg di connect ke halodoc mau cari historynya order tidak jelas, harap2 cemas order diterima tidak, ada tidak obatnya.
220;Alfi Febriansyah;5;03/11/2022 11:49;Helpful
221;Karno Prihatin;5;03/11/2022 09:10;Very helpful and user friendly
222;Steven N;1;03/11/2022 08:03;Aplikasi sampah tdk jls dpt info tracking numbernya dan tdk jls pembelian dari apotik mana
223;Puspa Rinjeni;4;03/11/2022 01:19;Sayangnya ongkirnya belum ekonomis
224;Brunkur Pique;5;02/11/2022 23:29;Sangat berguna dan efisien waktu.
225;Azilah Aziz;5;02/11/2022 11:55;Bagus, solusi terhadap keluhan ditangani dengan profesional dan pantas
226;Muhammad Taufiqurrohman;5;02/11/2022 11:40;Easy and Very Helpful
227;Ali Wafa Husaeni;5;02/11/2022 10:06;Sometimes some medicines was not available in one pharmacy. Should buy in seperate pharmacy.
228;yulia yuliarti Highscope Kelapa Gading;5;02/11/2022 07:53;Quick response and interactive
229;Setiawan Tjhe;5;02/11/2022 07:06;Helpful in anyway possible
230;Kautsar Tisamawi;3;02/11/2022 04:58;Saya rasa aplikasi medis seperti ini tergolong aplikasi darurat, harusnya ada opsi lain untuk login tidak hanya dengan verifikasi otp.
231;Hafidz Al Asqalani;1;02/11/2022 03:49;Bad
232;sapta wicaksana;5;02/11/2022 03:24;Praktis sekali
233;Jessica Juliani;5;02/11/2022 03:21;Sangat membantu
234;aprilia sukmawati;5;02/11/2022 01:32;Helpfull
235;Ricky Wachyudi;5;02/11/2022 00:03;Useful app.
