"","text"
"92","i have just deleted my account and uninstalled this ayou better delete all my details in your database as you and i are the same we dont want me to bring lawsuit into this so you better delete all the data you have on me in your system yes your aroducts and services have disanted me that much also le do not waste your time on this atry the alternative alr good riddance"
"93"," as dijadiin contoh utk kedejgn sembarangan kasih  jenis dokter sembarangan kerja  ah konsultasi   dokter yg  udh beralaman  kagak"
"94","oke     ribet  sistem langganan obat nya  seting ingguulan ayaran yg   go kartu kredit   konsul digital gratis   reseat    sndiri a coeseudah ku ud rese thirnya coba adai  sistemnya   "
"95","mudah "
"96","always hell"
"97","very good apps"
"98","terima kasih  dokter aasi  membantu  taami  timorleste   akses aasi"
"99","   aasi  scam  mengambil uang costumer   october memesan obat  refund taidak ah menerima refundnya     kali  november disuruh  batalkan saanan   driver   dihubungi  costumer service disuruh menghubungi l bank   dananya  rebu disuruh check  bank  plus skrg  rebu  sehat"
"100","mudah simpel"
"101","nice assistant"
"102","parah sih halodoc order  bsd ak terdekatnya blok m  kasian woi drivernya terdekat tuh serpong gading serpong  blok m  busetttt  coba deh  it nya benerin sistemnya  kasian driver ama customer  "
"103"," membantu dikala sakit ga  yg anter  klinik hehee"
"104","very hel"
"105","dokternya  cetanggap"
"106","pesan ga berhasilberhasil  n dadriver taibatiba dibatalkan status orderan  dibatalkan saldonya ga balikbalik  nyangkut  orderan"
"107","sesuai eksasi guys"
"108"," membantuthank  dokter  halodoc"
"109","aayah n obat dol anak kunyah u urgent n  jakarta barat   kirim  bogor  hr  samminta cancel gak  n   kirim    sistem aya sistem maksa kah anak   nya  bawa  rs   baikan obat br dtg konyol"
"110"," membantu agi   emi"
"111"," gam  early detection tanerlu ngantri  rumah sakit"
"112"," membantu dokter ramah lengkalai dr reserat diagnosa  surat sakit"
"113","memudahkan en"
"114","worst of the worst ave ever known"
"115"," membantu"
"116","data error limit asuransi   dibilang  habis  chat cs nggak  solusi"
"117","you guys are great thanks for saving her"
"118","payment nya ribet gagal berkalikali"
"119","  n obat   ud reseia konsultasi"
"120","konsultasi onlen  ce"
"121","bagus cedan  membantu"
"122","order jam  malam diterima  diantar"
"123"," jemknya "
"124","kenaoa dokter yg tercover insurance  tetadak muncul"
"125","bagus  t  ud fotodokumen langsung ngebug"
"126","good"
"127","great"
"128"," membantu"
"129","best aery recommended"
"130"," masukkan nomor telpon    kode verifikasi ga dateng  sms  via call"
"131","docter salis slow respihak aker  atalan nan  alasan  tututs so stu not recommended"
"132","sdh bbrmenggunakan aasi   dktr  dktr internis  dktr kulit  dktr yg ah sy konsultasi ramah   elasan yg mudah dimengerti terbantu banget dgn  aasi "
"133","ok"
"134","double order krn  bug  tertulis ayaran  berhasil   dicancel tdk sam menit  order  berulang kali diinfo cancel failed hubungi cs  langsung ditanggaadahal    dibatalkan samakhirnya status order keburu berubah  iriman     cancel"
"135","lamban"
"136","terimakasih halo doc"
"137","penjelasan dokter  "
"138","aasi  cukuik    bagus  transaksi elian item kesehatan disertai incatatan notes  usahakan  memaksa user  gps   buka aasi  betaulitnya  tracking iriman shiid  menyediakan fitur track nomor resi thanks"
"139","mantaap"
"140"," memeliki sistemalur layanan keluhan  transaksi yg bermasalah reskeluhan  transaksi yg bermasalah  lambat  minim informasitidak  kejelasan status tindak  keluhan  tsb  mengecewakan  semoga  mencontoh aasi  yg    dlm  manajemen keluhan customers"
"141","aasi cukuer friendly mudah "
"142","memudah riksaan walaudengan chat   klinikbiasanya   sei "
"143"," sengaja menekan  konsul  gogolangsung ding tananya pin bahaya  aasi "
"144"," ani    isi saldo halodoc penggabungan saldo gotidak   otp  ah masuk  saldo cukueldak berguna no kontak  diangkat kemana csnya     kali  chat dokter i menu ayaran kartu kredit  saldo halodoc     diisi  otp gotidak ah masuk  es ayaran selesai dokter  tersedia  tl  dicoba   chat dgn dokter tolol "
"145","good acation so hell"
"146","it hel lot"
"147","aduh gimana  aarah banget  nyoba ama kali  udah bayar taembayaran dibilang gagal  saldo  terng"
"148","hel and efficient"
"149","i dont use anymore because aalways ask locatione my loc always off why ahave to"
"150","mantanya  ongkos kirim obat gak dicover asuransi"
"151","aq suka"
"152","keren"
"153","good very hel"
"154","ntap"
"155","bagusss bgt"
"156"," membantu disaat darurat  aasinya mudah  "
"157","lancar riil berguna banget"
"158","good"
"159","maaf kasi bintang  pesan x  dibatalkan samak telkalau stok habis taasih masuk order "
"160","good"
"161","good apps"
"162","solusi  kecen mendaan nganan tenaga medis jatak "
"163","very usefull"
"164","flaws in flow to buy medicine generally this aconveniently helou when youre unhealthy but to lazy to go to the doctor but the flow to buy medicine is truly bad youve received crin from the doctor but before you hase it the system directs you to consult with another doctor then you got stuck in the ess"
"165","mudah banget"
"166","very easy to find what im looking for about medicines just click"
"167"," membantu    konsultasi   sanan obat"
"168","good"
"169"," mudah"
"170","membantu mendajawaban    dokter   rumah "
"171","dokternya ramah elasannya   hubungi    mantabsss"
"172","dokternya slow res"
"173"," i kode vaucher isoman dokternya gak res jd tera ulangi lg   bayar   sih yg  no lem"
"174","cepat"
"175","very hel when im in mess"
"176"," membantu"
"177"," membantu"
"178","very hell"
"179","verigud"
"180","  diandalkan dokter online nya   aya"
"181"," membantu"
"182","  membantu disaat butuh obat darurat    tanarus keliling cari ak"
"183","aasi ga  aneh tolol banget susah cari dokter bayar jg ribet"
"184","so far i am oke with this apps"
"185","tolong koordinasinya  driver gojek main leman tanggung  drivernya  nongkrong doang diulit  uatan lan ganti driver  lacs   read doang"
"186","aasi bagus  tis sayang obat yg hrs dng resekter dibatalkan  rekanan ak hrs ulang lg   chat dokter sbg konsumen  dirugikan hrsnya  n ulang resep"
"187","efektif  efisien"
"188","aasi berjalan    cukusif"
"189"," membantu"
"190","  yanan esional"
"191","kronologi  pesen  alamat a dicancel driver   pesanan dicancel otomatis  klik button n ulang alamatnya ga otomatis  alamat a    sadar salah alamat gabisa ganti alamat  gabisa dicancel  pesanan dikirim  alamat  salah sekian alaman  n obat  halodoc abis nyamangsung  uninstall aasinya"
"192","easy to use and very user friendly"
"193","tlng kalo  tyembayaran  i va   skrng  ribet contoh orng  sakit  baringan trus  ayaran konsultasi dokter  bangun  ambil dombuat liat kartu debit krn ga a aasi ayaran  thanks"
"194","failed to consult with a doc yet ye still kee gobalance firetruck u"
"195"," membantu biar gak u muter  ak "
"196","ramah  nyaman berkonsultasi"
"197","sy  konsultasibyr dg go sdh sy to taasi saldo sy gk bertambah uda bbrli dicoba"
"198"," membantu  daterhubung langsung  asuransi "
"199"," bermanfaat "
"200"," bermanfaat  memudahkan mendaan obat  sesuai     komunikasi saran  dokternya terimakasih halodoc good acation"
"201","easy to use and very hel"
"202","love this"
"203","bagus"
"204"," terbantu  kondisi      dadokter  cocok"
"205","the best "
"206","pelayanannya  uknya ok dokternya ramah antarannya ce perfect"
"207","  mencoba login kode verifikasi  kunjung dikirimkan  sms   coba beberaali  mengirimkan ulang kode verifikasi akses login  diblokir   jam  dianggaam kode verifikasi   exd  masuk menumke sms   menit       ruangan  jaringan sinyal "
"208","membantu  disaat urgent"
"209"," membantu  en  butuh obat "
"210","dokter   ramah   jelass"
"211","  bahan aasi  bug"
"212","penanganan  redari dokter  ce dokter  ramah   cukuofesional terima kasih"
"213"," membantu  mudah  inya"
"214","been using this for the  years and ho therell be some imements but unfortunately aint ha in my cases ever   kasih  lokasi ak tembeli obatlive chat bantuan udah hamseminggu beli obat  samgabisa live tracking     alaman konsul  nyaman  engga ditinggal  dokternya  meanwhile batas chat   menit   dokter handle beberarang  better  dokter  en for the whole  mins"
"215"," i   dr ktr jg wajib i  doktr nya beragam  bs cek salis  obat   bs liat harga aasi ok tmang ongkirnya mahal rb an"
"216","salah  aasi telemedisin terbaik fiturnya  oke talease tambahkan fitur   tigi  obat pemesan    tilau  bolak  buka history gosend  riwayat pemesanan  halodoc"
"217","more userfriendly esally the consultation  thumbs up"
"218","always fast resbest solution thank you halodoc "
"219","yanan    dokter beralaman"
"220"," friendly user  order obat halo doc  diarahkan n berhari  orang sakit n obat  buru  disuruh menunggu  n obat  gojek yg  connect  halodoc  cari historynya order   haraemas order diterima    obatnya"
"221","hel"
"222","very hel and user friendly"
"223","aasi samtdk jls dnfo tracking numbernya  tdk jls elian  ak "
"224","sayangnya ongkirnya  ekonomis"
"225"," berguna  efisien "
"226","bagus solusi terhadaluhan ditangani  esional  as"
"227","easy and very hel"
"228","sometimes some medicines was not available in one macy should buy in sete macy"
"229","quick rese and interactive"
"230","hel in anyway ible"
"231","  aasi medis sei  tergolong aasi darurat   olain  login    verifikasi otp"
"232","bad"
"233","praktis "
"234"," membantu"
"235","hell"
"236","useful app"
"237"," terbantu   aasi  memudahkan  elian obatan   butuhkan   jam  layanan konsultasi dokter nya  membantu tanarus  rs   resegital   obatan nya  langsung  n  aasi      diukan tindakan  langsung aasi halodoc membantu menghemat  hemat energy  hemat uang top"
"238","good aery hell"
"239",""
"240"," kaian asuransi baiknya en  u bilang  asuransi  nama anak  su diagnosa sesuai  syarat klaim asuransi anak  samterjadj  sei   merugikan  en   telecon   dokter berbeda   dareserbeda     dokter      en    uan sei   en"
"241","dokternya    analisis    u  areschatnya  walauu menunggu  masuk akal    sambermenitmenit ng  menunggu  menit"
"242","memudahkan  berkonsultasi dg dokter tanengantri ang"
"243","solutif"
"244","good"
"245"," h  alodokter otp gak masuk masuk oiiii"
"246","terbaik "
"247","good apps"
"248","thank you"
"249"," membantu agi   kena c"
"250"," error  x  range    tiaberaali  ue list obat   dibeli    butuh obatobatnya"
"251","bagus"
"252","fast resdan jd solusi alternatif yg bagus"
"253","fast respon"
"254","hi develo kachat  drivers  telebisa langsung   aasi ojek online  manual sms  teleregular thank you to listen my ious insight that macist the instruction of meds and filter tanggal  janji temu dokter thank you halodoc develo"
"255"," membantu"
"256","memuaskan"
"257","great aselama   dii  beli obat  membantu  u obat     ak"
"258","ive already uded the medicine recihy i still have to consult before buying medicine"
"259","really hell"
"260","barang kadaluarsa   dikirim  cs  jam taobot doang edit   dibalikin sesuai invoice yg nyangkut  saldo krn refund gmn tolong  kali dicek   ak tobersa medika  jual barang udah kadaluarsa    "
"261","nice acation"
"262","usefull app"
"263","han yg terbaik  anak kos "
"264"," cannot remove ile  cannot delete account"
"265","doctor consultation always slow in resing so  mins are running out quickly somewhat ey delivery and service fee has insurance integration"
"266"," membantu"
"267","hel"
"268","aini  membantu utk berkonsultasi dgn dokter tanarus  rumah  biaya konsultasi murah"
"269","ok"
"270","mayan lahdi era digital gini  membantu org yg  sakit ringan taager   akdokter sukses   tingkatkan yanan  rakyat jelata  hahaha"
"271","excellent i feel sick on the way to my destination e then i use halodoc i got the medicine sent to my destinatiom e halodoc is awesome"
"272"," membantu  ga u antri nggu in dokter"
"273","very hel"
"274","dokternya  salah h ile  kenaaya  chat ulang"
"275","cool apps"
"276","harga mahal  obat"
"277","hel"
"278","resif  ramah"
"279","very easy to use"
"280","dokternya   ramahtq doksukses  "
"281","meskidiantar   ongkosnya tetahitung  ak rekanan  terdekat  ak rekanan  terdekat sdang habis stok tangkos  driver gosend full sesuai jarak asli  halodoc keluarin subsidi  anyway  membantu terimakasih"
"282","mudah"
"283","what is wrong with the new ued ai cant order my medicine because it kesking me to ud the crin which is i did directly after i consulted with a doctor then when i ed the ent the  just brought me to do another consultation with a doctor since the aant read that my crin is already uded turns out the doctor who can give me another ued crin are all not available its leading me to unable order my medicine great please fix this"
"284","toko obat  kali    alamat"
"285"," membantu"
"286","hell"
"287","good job"
"288","very easy to use"
"289","obat dipesan salah kirim  alamat orang telepon customer service  dibantu respond  lambat nmr hp  email   customer service  bilang  ditelepon biar cepat  kirim email    pesan obat  mainan driver ga bertanggung   drop obat  rmh tetangga ga  konfirmasi"
"290","best dokter ai indo"
"291","aasi yg  membantu"
"292","kecewa  chat  dokter   dibalas  dokter  balasan dokter  muncul muncul   restart aasi  muncul   telat  konsultasinya ditutuomatis kecewa"
"293","halodoc yg   sei halodoc yg  emang  aasi indah   aja orang  suruh bayar cemereka  dana   waswas   aasi  live agent nya  resnya tunggu   kerja dana sy    ga  sy uninstall  aikin sistem kerjanya y  urgent  orang sakit gini jd ah   hati"
"294","this aele a lot and its user friendly thank you"
"295"," membantu  olog klinisnya"
"296","membantu "
"297","usefull and better than the other apps"
"298",""
"299","aasi konsultasi halodoc   berguna   adi  tindakan   tks"
"300","disaat emi   sgt membantu bangeeeet goodjob halodoc pilihan salisnya "
"301","thankful  halodoc"
"302","tamn  mudah dimengerti resjuga cejika dokter tdk tersedia  langsung diberitahu  memudahkan  orang  konsul dg dokter dimana   kun tanerlu mengantri "
"303","oke"
"304","dokternya ramah  yanan cepat"
"305"," langganan  halodoc trkali coba     order obat  setiaya refresh krn  bahan alamatitem yg dibeli notes  driver hilang menyulitkan "
"306","mantapp"
"307","very hel and quick res also easy to use even to buy the medicine its all there  you just wait and in within mnt its already in your hand  good"
"308","padat singkat    membantu minimal   tenang disaat k krn sakit terima kasih "
"309","very simand hel"
"310"," terbantu"
"311","kenaeseat  bayar trus berhasil ayaran  dibatalkan"
"312","dokternya   duitnya aja  melayani konsultasi ang ngetik jawabanya cm  coba  dokter anu coba  dokter  udah walobukan dokter salis taarusnya a  etahuan kedokteran dasar mah ngetik aek gtu  bantu en saran tindakan dasar kek sesuai ama fungsi dokter kalo cm  sekata   gtu mendingan   ama kang warung "
"313","bagus"
"314","halodoc good aesasaran  hasilnua memuaskan"
"315","fast and good rese"
"316","tis relatif murah  keluhan ringan dibanding   rs"
"317","  lengkak alat medis nya sei bebat  kaki  keseleo"
"318","very hel"
"319","terimakasih   mudah agi terkoneksi dgn gosebagai ayarannya   asuransi kantor  tku ya  "
"320","konsultasi mudah dgn dokter  dokternya ramah"
"321","user friendly"
"322"," membantu    urgent pengiriman cepat"
"323","membantu "
"324"," mudah  ce       beli obat  halodoc  mahal"
"325"," membantu"
"326","quick rese to solve the lem holly the medicine given by the doctor can makes better"
"327","salah  aasi  membawa bahan  hiduembuat hidudi  mudah kekurangannya  terkadang suka  bugs gitu"
"328","suka krn simcover insurance harga reasonable tis"
"329","mantap"
"330","mantap"
"331"," chat dgn dokter  dese ak   obat yg tdk  shg dibatalkan  zonk koq disuruh chat dgn dokter  live chat  dibales ditel ga  yg angkat yanan  buruk"
"332","my order has been confirmed but no driver to deliver the medication im waiting way longer than the estimated time unfortunately no real live sut team to talk with and there is only virtual assistant bot which has limited efined questions it is a bad user exence"
"333"," membantu   ga bs klr ruma beli obat"
"334","dokternya   "
"335","resyg ce te"
"336"," ue   tracking nan please fixing tks"
"337","penjelasannya  "
"338","dokter offline   tetahitung sbg transaksi  recommended"
"339"," membantu"
"340","unreliable for not haflow slow customer service turnaround"
"341"," kecewa   membutuhkan obat  salah  obatnya rusak    halodoc  butuh obatnya cetetaalau kaya gn gimana service nya agi disaat sakit  butuh obat  nganannya ce bener kecewa"
"342","good"
"343","good"
"344","iriman obat  h"
"345","chat  konsul dgn dokter obat yg direkomendasikan berjalan dgn  tat  menghubungi cs astaga bnr menguji kesabaran kondisi  butuh obat seceya alamat antaran yg  h jaktim ttik   scbd jd driver ambil obat dr daerah gandaria yg menyebabkan  hrs menambah biaya kirim yg  sdh  dlm itungan   cb mnt bantuan via helnter  aan wa tslama  tdk solutif"
"346","great app"
"347","excellent acation  service"
"348","very hel a"
"349","very good apps"
"350","hel  agi beian "
"351","awesome"
"352","pertolongan oertama    anak sakitfast rese"
"353","really hel and easy to use"
"354","detail     instruksi nya makasih dok semoga manjur resen sarannya   sukses  dok"
"355","kemudahan  berkonsultasi  mendaan best advice  dokter   uru nusantara"
"356","pengiriman via gosend instan estimasi  menit ok normal karna lumayan   ttimation timenya berhenti kalo abangnya gajalan  suka abangnya  ku  menunggu sei badut malem   tidur aungguin obat  diteldiangkat  quotes  berguna mending suruhlah adick   i halodoc"
"357","parah main batal batalin aja nan orang gak bertanggung  dibalikin nya  saldo halo doc  gak  rekening langsung  abuat belanja  kasaya  aasi halo doc"
"358","aini  membantu  works really well proses konsultasi  dokter   mudah    samerian resen olokasi busan reserdekat lengkaserta harganya thumbs up"
"359","good"
"360","very hel  easy to use"
"361","usefull"
"362","mantul"
"363","error mulu"
"364"," jelek exence nya obat  dadies disuruh coba  berulang kali  menit ga   virtual assistant  bikin frustasi ga  hannya"
"365","mudah  cesamorder obatnya"
"366","overall bagus dokter komunikatif   hel   ayaran  link aja terkadang suka error     dana etc"
"367","mengecewakan disaat yg salah dokternya jd en yg nanggung akibatnya  en tinggal klik keranjang gak tau yg dikasih beraty obatnya gak  info alhasil nahan sakit dr semalem  h  sih   halodoc udah gitu lambat banget nanganin comn"
"368","enak i aasi  simga ribet  solitif"
"369"," membantu  halodoc thanks halodoc dokternya  ramah  hel"
"370","the best virtual doctor apps"
"371","user friendly"
"372","  menerima pesanan tp   terkirim"
"373","cant chat the doctor due to an error when i need it the most"
"374","pengalaman  buruk    konsultasi  "
"375","goood"
"376","this aas ty good and user friendly"
"377","aasi yg  "
"378","aasi yg bagus  semoga   dikembangkan"
"379"," bangga a aasi halodoc"
"380","obat yg   dibeli tbtb  disertakan reseeli obat  halodoc skrg siulit beli obat mesti bayar lg  chat dokter   direse  gak  ongkir  mahal udah bye deh halodoc"
"381"," membantu tada ongkir  obat lumayan ya"
"382"," kali  aasi  cukumbantu utk kota  yg terbatas dokter salisnya    libur   n"
"383","makasih"
"384","simrfull  lancartl lakukan inovasi"
"385"," membantu    membutuhkan konsultasi dr  mencari obat"
"386","lemot hang"
"387","cukuas"
"388","welldone halo doc "
"389"," turan  telat  menit konsultasi uang langsung hangus   dibantu  dijadwalkan ulang  dikembalikan uangnya"
"390","good"
"391","bagus  lemot  lag  android"
"392"," to halodoc  livin mandirikok  aasi ndak  han  ayaran "
"393","error  udh ganti ileteterbaca yg ary jd keng saldo xrb sia sia  konsul utk anak  mnta surat ijin  dokter jd ga  trs krn  sistem  digital "
"394","layanan cedan murah"
"395","ok"
"396","good hel user friendly"
"397","layanan cedan "
"398","dokternya  membantu  detail   kondisi en"
"399","average"
"400","dana refund amoe berbulanbulan  gak masuk gimana dah  trus   beli obat udah gabisa   jam  aja  order  gabisa yaudah  semoga berkah duit   gak "
"401","bantuan tis mudah cemurah  efektif terima kasih halodoc"
"402","bagus banget memudahkan bangett yanannya   "
"403","good   cetak strook obat   muncul  engga "
"404","pelayanan nya cepat"
"405"," i iriman regular guys    sam gimana kalo org butuh ce mending   adakan kalo estimate nya   harian   aasi nyanlebih canggih    mengubah metode iriman  ak kirim barang aasi kebutuhan kesehatan  "
"406","handy"
"407","hel"
"408","to do t kerenq"
"409","mudah   ceresya"
"410","mudah      ayaran transfer virtual bank"
"411","dokter julius martin salis kejiwaan  bagus melayani dg sabar  teliti    beralaman   kontrol  tanggal delabelas oktober  dokter julius martin jam "
"412"," membantu agi    temyang lokasinya    faskes"
"413","hidubih mudah  sehat  halodoc"
"414","aini  bermanfaat"
"415"," membantu"
"416","you must not coistribute disclose or distribute the message to the email address is tasya and make the use of this message was automatically and thanks for all your helth the email address and"
"417"," kali konsul  dokter dikasih reseda  dies transaksi dibatalkan  aasi tolong  kejadian dibatalkan  aasi munculkan  resegitalnya masak  konsul   atalan ama uang   dikembalikan"
"418","easy to use"
"419","penanganan obat salah kirim   helk  gercema gajelas"
"420"," membantu tks"
"421","good"
"422","so hell"
"423","good exence so far"
"424","terimakasiiii  membantu   "
"425","doktor nya cekatan  tanggamakaian aasinya  gak ribet"
"426"," membantu   yg tinggal   klinik  rs thanks halodoc"
"427"," membantu   sakit   kondisi    rumah"
"428","rescedan elasan "
"429","dokternya ramah"
"430","terima kasih  ce"
"431"," murah tnyata dr marketes yg   ceyanannya jam beraun nnya"
"432","membantu orang sakit"
"433"," kecewa  tanggal  seaya beli obat    kirim  iriman instant   membutuhkan obat     malamnya   berangkat  kota  jam   aasi obat   informasikan     tdk  temukan  dermh driver tdk bs  hubungi  resdr halodoc     beli obat lg  ak   utk cancel   bs obat terkirim sehari  dimana rmh  kosong"
"434","keren"
"435","mantab trims "
"436","very useful acation it also give fast resfor your comn"
"437","nyaman   aasi kesehatan   berjalan sesuai haradan dokternya ramahramah"
"438","nice and good service"
"439",""
"440","halodoc  nggak tau  ak rekananya tutuudah n x ganti alamat  teta ak  tuturang butuh obat ce   lan  samisinya komn  ak yg tutu nonaktifkan ham jam  cari obat"
"441","hel but need a lot imement instead of sending chat using sms make a chat module"
"442"," dibatalkan  sek  k gojek nya   butuh gimana    mengalaminya malam   obatan isteri  gila banget aasi  membantu "
"443","aasi   membantu"
"444","very hell for me and my family"
"445","  detil"
"446","easy to use"
"447","nice"
"448","ok"
"449","mantap"
"450","sdh lancar signal nya"
"451","make my life easier kalo  sakit trs susah  akdokter terdekat"
"452","hell"
"453","terbaikk"
"454","keren memudahka"
"455","bagus"
"456"," membantu"
"457","membantu berobat konsultasi  elian obat  online  teraya"
"458","good"
"459","  booking tes covid  error tolong aiki "
"460","this aeally hel and easy to use its necessary to heltient during emy thank you souch"
"461","mantat ketolong sm aasi  drarus ongkos lg ngantri utk konsul sm dokter  rs skrg udh d udah bgt sm halodoc"
"462","cemantap"
"463","pelayanan cepat"
"464","aasinya ko gni yaa   obat udah  hri masi aja mencari driver blom dikirim trus gabisa dicancel  klo gini   bahaya  en yg butuh obat"
"465","rem bgt  aama  cs   ujung kena refund  udh nunggu  jam taneringatan yg jls mending  yg "
"466","memudahkan elian obat   darurat"
"467","kenaetiaka halodoc  koneksi internet  ditemukan  maksudnya aa koneksi internet  lancar  buka aasi "
"468","good"
"469","dokternya      solusi   terima kasih"
"470","  oke  disynchronize  asuransi kantor konsultasi gratis deh"
"471"," membantu"
"472"," rsif"
"473","its good"
"474"," membantu  menolong"
"475","kece"
"476","hel"
"477","an excellent ai usually use it to buy medicine and nothing more i havent tried using other features so far so good very tical and user friendly it deserves  stars for now"
"478","first time using this a so hel doktermya ramahkonsul  nyaman terimakasih halodoc"
"479",""
"480","kalo n obat gak samtau   refund sek udah biasalah ya  aasi  taarusan ngalamin  konsultasi  dokter   ngasih intro  dokternya offline dicuekin aja gitu en samena time limit  bayar   ya gak profesional banget kom  cs    lambatnya responnya nyusahin orang sakit aja heran"
"481","solusi ceutk kebutuhan olongan medis sgra"
"482","usefull banget bener bener membantu thanks"
"483","mudah  teraya"
"484","good"
"485","memudahkan  memesan obat  aasinya  mendukung  urgen"
"486","ramah  cega lelet"
"487"," gam bgt nya obatnya lengka tga obatnya  ey aj"
"488","bagus"
"489","very friendly doctor"
"490","please fix the bug worst aver tried to delete one of the order and tells me that need to start all over again"
"491","very satisfied kee the advancement system"
"492"," memudah en   langsung  kokter terkait akitnya"
"493","x halodoc bikin kecewa  sih  beli obat  dikirim  alamat  uang  obat  ga terima customer care lambat  tidindaklanjuti  via email   layanan video call  voice  muncul suara  sinyal bagus uang konsultasi utk layanan teleconference  terbuang ue    rating bintang  langsung ditelcustomer service  sy  sakit taitanya kendala teknis   cukuma"
"494","excellent"
"495","fiturnya lengkanget  connect dg asuransi  mantap"
"496","nyari ak nya  mulu   ongkir nya tarang sakit butuh obat buru  dikasih ak   obat maag standaran doang tiaotek i "
"497","great"
"498","membantu   layanan chat  dokter nya cedan mudah thankss"
"499","very useful"
"500","  membantu  menghadaasalah kehidu"
"501","aasi  bermutu masak berlangganan aja gak    menunya berlangganan  cs nya  gak bermutu banget  dikirimi video sesuai intaanya lho  tetaa gak kena"
"502","error   order obat   ue aasi taetagal order "
"503","seamless rebahan aja   dokter daobat nyambung dg asuransi "
"504","agi   butuhkan   sakit  menunggu obat  jam cancel  kali  obatnya  ah sam"
"505","hell"
"506","useful while lockdown"
"507","glm akurat"
"508","uiux nya ajak  bingung"
"509","cukulas   membantu"
"510"," memuaskan"
"511","cedan mudah"
