"","klasifikasi","score","text"
"41","Netral",0," fiturnya udah lengkadi gau download aain lg samcek bmi  bisaa "
"42","Negatif",-3,"ribet bgt ya bolak  arui keranjang ue toko ganti alamat mending benerin  deh user exence nya"
"43","Netral",0,"mudah  rescepat"
"44","Netral",0,"dokternya  hel n aasi user friendlysukses  halodocsenang berobat  halodoc"
"45","Positif",1,"mudah  cepat"
"46","Netral",0,"pesan obat    halodoc  tera   dibatalkan sek    daresengkap"
"47","Netral",0,"hell"
"48","Negatif",-2,"pelayanan buruk saldo  x tertarik tetatatus ayaran gagal pembohongan ik   urgent"
"49","Netral",0,"the location issue when you input address properly but the point isnt you should pickup by yourself to take what you order it happened twice"
"50","Netral",0,"simand effective"
"51","Netral",0,"tanggacedan "
"52","Negatif",-1,"gak  lacak iriman obat  hubungi csnya   csnya  chat dgn virtual assistant  chat dgn cs jawabannya standar   sei chat  robot cs  standby  jam ya  kalo  cancel an malem goodluck gak   list dokter gk ue  mahal"
"53","Positif",1,"pelayanan   cepat"
"54","Negatif",-2,"pengiriman lambat  ribet   cancelbahan alamat  iriman"
"55","Netral",0," konsulnya"
"56","Netral",0," membantu"
"57","Netral",0,"fast res"
"58","Netral",0,"its helllll"
"59","Netral",0,"good"
"60","Netral",0,"cukumbantu krn mudah utk konsultasi kasaja"
"61","Netral",0,"this is afunctionality is amazing and sooooo useful"
"62","Negatif",-1,"kecewa  yanan dokter  cs nya ga  diandalkan   emergency   covid   payah "
"63","Netral",0,"pencarian obatnya   akurat uninstall"
"64","Netral",0," membantu"
"65","Positif",1,"keren tgal mulu klo to"
"66","Netral",0,"mudah   berguna"
"67","Netral",0,"good aation for health"
"68","Positif",2,"dr rahmat bagus"
"69","Positif",1," bermanfaat  urgensi"
"70","Netral",0,"very reliable  beli obat malem"
"71","Netral",0,"okay ngebantu bgt utk konsul  dokter  beli obat"
"72","Netral",0,"very easy to use wished the rating become a star or something there are times when a doctor could do better but they did a good job do i give them a thumbs u thumbs down for the feedback"
"73","Netral",0," bug  banget error  beli obat"
"74","Netral",0,"nice feature mechanism and easy to use"
"75","Netral",0,"hel"
"76","Netral",0,"aasi     lancar yanan dokter  ce terimakasih "
"77","Netral",0,"ok"
"78","Negatif",-1,"aasi ribet"
"79","Negatif",-2,"gak  ribet bgt udah i resekter  gak   beli obat nya ribet bgt aeda  yg "
"80","Positif",2,"bantu banget  nganan cepat"
"81","Netral",0,"my life is easier with halodoc "
"82","Negatif",-1,"muantedi ga antri  kalo   resep"
"83","Netral",0,"good "
"84","Positif",2,"dokternya   sabar terima kasih"
"85","Netral",0,"kalo dada  sakit beraablet cedocard  diminum  dibawah lidah"
"86","Netral",0,"rescedan "
"87","Netral",0," membantu"
"88","Positif",1," cepat"
"89","Netral",0,"ce terjangkau biayanya"
"90","Netral",0,"user friendly"
"91","Netral",0," membantu"
"92","Netral",0,"i have just deleted my account and uninstalled this ayou better delete all my details in your database as you and i are the same we dont want me to bring lawsuit into this so you better delete all the data you have on me in your system yes your aroducts and services have disanted me that much also le do not waste your time on this atry the alternative alr good riddance"
"93","Netral",0," as dijadiin contoh utk kedejgn sembarangan kasih  jenis dokter sembarangan kerja  ah konsultasi   dokter yg  udh beralaman  kagak"
"94","Netral",0,"oke     ribet  sistem langganan obat nya  seting ingguulan ayaran yg   go kartu kredit   konsul digital gratis   reseat    sndiri a coeseudah ku ud rese thirnya coba adai  sistemnya   "
"95","Netral",0,"mudah "
"96","Netral",0,"always hell"
"97","Netral",0,"very good apps"
"98","Positif",2,"terima kasih  dokter aasi  membantu  taami  timorleste   akses aasi"
"99","Positif",1,"   aasi  scam  mengambil uang costumer   october memesan obat  refund taidak ah menerima refundnya     kali  november disuruh  batalkan saanan   driver   dihubungi  costumer service disuruh menghubungi l bank   dananya  rebu disuruh check  bank  plus skrg  rebu  sehat"
"100","Netral",0,"mudah simpel"
"101","Netral",0,"nice assistant"
"102","Negatif",-2,"parah sih halodoc order  bsd ak terdekatnya blok m  kasian woi drivernya terdekat tuh serpong gading serpong  blok m  busetttt  coba deh  it nya benerin sistemnya  kasian driver ama customer  "
"103","Negatif",-1," membantu dikala sakit ga  yg anter  klinik hehee"
"104","Netral",0,"very hel"
"105","Netral",0,"dokternya  cetanggap"
"106","Negatif",-2,"pesan ga berhasilberhasil  n dadriver taibatiba dibatalkan status orderan  dibatalkan saldonya ga balikbalik  nyangkut  orderan"
"107","Positif",1,"sesuai eksasi guys"
"108","Netral",0," membantuthank  dokter  halodoc"
"109","Negatif",-1,"aayah n obat dol anak kunyah u urgent n  jakarta barat   kirim  bogor  hr  samminta cancel gak  n   kirim    sistem aya sistem maksa kah anak   nya  bawa  rs   baikan obat br dtg konyol"
"110","Netral",0," membantu agi   emi"
"111","Negatif",-1," gam  early detection tanerlu ngantri  rumah sakit"
"112","Positif",1," membantu dokter ramah lengkalai dr reserat diagnosa  surat sakit"
"113","Positif",1,"memudahkan en"
"114","Netral",0,"worst of the worst ave ever known"
"115","Netral",0," membantu"
"116","Netral",0,"data error limit asuransi   dibilang  habis  chat cs nggak  solusi"
"117","Netral",0,"you guys are great thanks for saving her"
"118","Negatif",-2,"payment nya ribet gagal berkalikali"
"119","Netral",0,"  n obat   ud reseia konsultasi"
"120","Netral",0,"konsultasi onlen  ce"
"121","Positif",1,"bagus cedan  membantu"
"122","Positif",1,"order jam  malam diterima  diantar"
"123","Netral",0," jemknya "
"124","Netral",0,"kenaoa dokter yg tercover insurance  tetadak muncul"
"125","Positif",1,"bagus  t  ud fotodokumen langsung ngebug"
"126","Netral",0,"good"
"127","Netral",0,"great"
"128","Netral",0," membantu"
"129","Netral",0,"best aery recommended"
"130","Negatif",-1," masukkan nomor telpon    kode verifikasi ga dateng  sms  via call"
"131","Negatif",-1,"docter salis slow respihak aker  atalan nan  alasan  tututs so stu not recommended"
"132","Positif",2,"sdh bbrmenggunakan aasi   dktr  dktr internis  dktr kulit  dktr yg ah sy konsultasi ramah   elasan yg mudah dimengerti terbantu banget dgn  aasi "
"133","Netral",0,"ok"
"134","Positif",1,"double order krn  bug  tertulis ayaran  berhasil   dicancel tdk sam menit  order  berulang kali diinfo cancel failed hubungi cs  langsung ditanggaadahal    dibatalkan samakhirnya status order keburu berubah  iriman     cancel"
"135","Negatif",-1,"lamban"
"136","Netral",0,"terimakasih halo doc"
"137","Netral",0,"penjelasan dokter  "
"138","Positif",2,"aasi  cukuik    bagus  transaksi elian item kesehatan disertai incatatan notes  usahakan  memaksa user  gps   buka aasi  betaulitnya  tracking iriman shiid  menyediakan fitur track nomor resi thanks"
"139","Netral",0,"mantaap"
"140","Negatif",-6," memeliki sistemalur layanan keluhan  transaksi yg bermasalah reskeluhan  transaksi yg bermasalah  lambat  minim informasitidak  kejelasan status tindak  keluhan  tsb  mengecewakan  semoga  mencontoh aasi  yg    dlm  manajemen keluhan customers"
"141","Netral",0,"aasi cukuer friendly mudah "
"142","Netral",0,"memudah riksaan walaudengan chat   klinikbiasanya   sei "
"143","Negatif",-1," sengaja menekan  konsul  gogolangsung ding tananya pin bahaya  aasi "
"144","Netral",0," ani    isi saldo halodoc penggabungan saldo gotidak   otp  ah masuk  saldo cukueldak berguna no kontak  diangkat kemana csnya     kali  chat dokter i menu ayaran kartu kredit  saldo halodoc     diisi  otp gotidak ah masuk  es ayaran selesai dokter  tersedia  tl  dicoba   chat dgn dokter tolol "
"145","Netral",0,"good acation so hell"
"146","Netral",0,"it hel lot"
"147","Netral",0,"aduh gimana  aarah banget  nyoba ama kali  udah bayar taembayaran dibilang gagal  saldo  terng"
"148","Netral",0,"hel and efficient"
"149","Netral",0,"i dont use anymore because aalways ask locatione my loc always off why ahave to"
"150","Netral",0,"mantanya  ongkos kirim obat gak dicover asuransi"
"151","Netral",0,"aq suka"
"152","Positif",1,"keren"
"153","Netral",0,"good very hel"
"154","Netral",0,"ntap"
"155","Netral",0,"bagusss bgt"
"156","Negatif",-1," membantu disaat darurat  aasinya mudah  "
"157","Positif",1,"lancar riil berguna banget"
"158","Netral",0,"good"
"159","Positif",3,"maaf kasi bintang  pesan x  dibatalkan samak telkalau stok habis taasih masuk order "
"160","Netral",0,"good"
"161","Netral",0,"good apps"
"162","Positif",1,"solusi  kecen mendaan nganan tenaga medis jatak "
"163","Netral",0,"very usefull"
"164","Netral",0,"flaws in flow to buy medicine generally this aconveniently helou when youre unhealthy but to lazy to go to the doctor but the flow to buy medicine is truly bad youve received crin from the doctor but before you hase it the system directs you to consult with another doctor then you got stuck in the ess"
"165","Positif",1,"mudah banget"
"166","Netral",0,"very easy to find what im looking for about medicines just click"
"167","Netral",0," membantu    konsultasi   sanan obat"
"168","Netral",0,"good"
"169","Netral",0," mudah"
"170","Negatif",-1,"membantu mendajawaban    dokter   rumah "
"171","Positif",1,"dokternya ramah elasannya   hubungi    mantabsss"
"172","Netral",0,"dokternya slow res"
"173","Netral",0," i kode vaucher isoman dokternya gak res jd tera ulangi lg   bayar   sih yg  no lem"
"174","Positif",1,"cepat"
"175","Netral",0,"very hel when im in mess"
"176","Netral",0," membantu"
"177","Netral",0," membantu"
"178","Netral",0,"very hell"
"179","Netral",0,"verigud"
"180","Positif",1,"  diandalkan dokter online nya   aya"
"181","Netral",0," membantu"
"182","Negatif",-2,"  membantu disaat butuh obat darurat    tanarus keliling cari ak"
"183","Negatif",-4,"aasi ga  aneh tolol banget susah cari dokter bayar jg ribet"
"184","Netral",0,"so far i am oke with this apps"
"185","Negatif",-2,"tolong koordinasinya  driver gojek main leman tanggung  drivernya  nongkrong doang diulit  uatan lan ganti driver  lacs   read doang"
"186","Negatif",-1,"aasi bagus  tis sayang obat yg hrs dng resekter dibatalkan  rekanan ak hrs ulang lg   chat dokter sbg konsumen  dirugikan hrsnya  n ulang resep"
"187","Positif",1,"efektif  efisien"
"188","Netral",0,"aasi berjalan    cukusif"
"189","Netral",0," membantu"
"190","Netral",0,"  yanan esional"
"191","Negatif",-7,"kronologi  pesen  alamat a dicancel driver   pesanan dicancel otomatis  klik button n ulang alamatnya ga otomatis  alamat a    sadar salah alamat gabisa ganti alamat  gabisa dicancel  pesanan dikirim  alamat  salah sekian alaman  n obat  halodoc abis nyamangsung  uninstall aasinya"
"192","Netral",0,"easy to use and very user friendly"
"193","Negatif",-1,"tlng kalo  tyembayaran  i va   skrng  ribet contoh orng  sakit  baringan trus  ayaran konsultasi dokter  bangun  ambil dombuat liat kartu debit krn ga a aasi ayaran  thanks"
"194","Netral",0,"failed to consult with a doc yet ye still kee gobalance firetruck u"
"195","Netral",0," membantu biar gak u muter  ak "
"196","Positif",2,"ramah  nyaman berkonsultasi"
"197","Negatif",-1,"sy  konsultasibyr dg go sdh sy to taasi saldo sy gk bertambah uda bbrli dicoba"
"198","Netral",0," membantu  daterhubung langsung  asuransi "
"199","Positif",1," bermanfaat "
"200","Positif",3," bermanfaat  memudahkan mendaan obat  sesuai     komunikasi saran  dokternya terimakasih halodoc good acation"
"201","Netral",0,"easy to use and very hel"
"202","Netral",0,"love this"
"203","Positif",1,"bagus"
"204","Positif",1," terbantu  kondisi      dadokter  cocok"
"205","Netral",0,"the best "
"206","Positif",1,"pelayanannya  uknya ok dokternya ramah antarannya ce perfect"
"207","Netral",0,"  mencoba login kode verifikasi  kunjung dikirimkan  sms   coba beberaali  mengirimkan ulang kode verifikasi akses login  diblokir   jam  dianggaam kode verifikasi   exd  masuk menumke sms   menit       ruangan  jaringan sinyal "
"208","Netral",0,"membantu  disaat urgent"
"209","Netral",0," membantu  en  butuh obat "
"210","Positif",1,"dokter   ramah   jelass"
"211","Negatif",-2,"  bahan aasi  bug"
"212","Positif",3,"penanganan  redari dokter  ce dokter  ramah   cukuofesional terima kasih"
"213","Netral",0," membantu  mudah  inya"
"214","Positif",3,"been using this for the  years and ho therell be some imements but unfortunately aint ha in my cases ever   kasih  lokasi ak tembeli obatlive chat bantuan udah hamseminggu beli obat  samgabisa live tracking     alaman konsul  nyaman  engga ditinggal  dokternya  meanwhile batas chat   menit   dokter handle beberarang  better  dokter  en for the whole  mins"
"215","Netral",0," i   dr ktr jg wajib i  doktr nya beragam  bs cek salis  obat   bs liat harga aasi ok tmang ongkirnya mahal rb an"
"216","Positif",1,"salah  aasi telemedisin terbaik fiturnya  oke talease tambahkan fitur   tigi  obat pemesan    tilau  bolak  buka history gosend  riwayat pemesanan  halodoc"
"217","Netral",0,"more userfriendly esally the consultation  thumbs up"
"218","Netral",0,"always fast resbest solution thank you halodoc "
"219","Netral",0,"yanan    dokter beralaman"
"220","Negatif",-1," friendly user  order obat halo doc  diarahkan n berhari  orang sakit n obat  buru  disuruh menunggu  n obat  gojek yg  connect  halodoc  cari historynya order   haraemas order diterima    obatnya"
"221","Netral",0,"hel"
"222","Netral",0,"very hel and user friendly"
"223","Positif",1,"aasi samtdk jls dnfo tracking numbernya  tdk jls elian  ak "
"224","Negatif",-1,"sayangnya ongkirnya  ekonomis"
"225","Positif",1," berguna  efisien "
"226","Positif",1,"bagus solusi terhadaluhan ditangani  esional  as"
"227","Netral",0,"easy and very hel"
"228","Netral",0,"sometimes some medicines was not available in one macy should buy in sete macy"
"229","Netral",0,"quick rese and interactive"
"230","Netral",0,"hel in anyway ible"
"231","Negatif",-1,"  aasi medis sei  tergolong aasi darurat   olain  login    verifikasi otp"
"232","Netral",0,"bad"
"233","Netral",0,"praktis "
"234","Netral",0," membantu"
"235","Netral",0,"hell"
"236","Netral",0,"useful app"
"237","Positif",1," terbantu   aasi  memudahkan  elian obatan   butuhkan   jam  layanan konsultasi dokter nya  membantu tanarus  rs   resegital   obatan nya  langsung  n  aasi      diukan tindakan  langsung aasi halodoc membantu menghemat  hemat energy  hemat uang top"
"238","Netral",0,"good aery hell"
"239","Netral",0,""
"240","Netral",0," kaian asuransi baiknya en  u bilang  asuransi  nama anak  su diagnosa sesuai  syarat klaim asuransi anak  samterjadj  sei   merugikan  en   telecon   dokter berbeda   dareserbeda     dokter      en    uan sei   en"
"241","Positif",1,"dokternya    analisis    u  areschatnya  walauu menunggu  masuk akal    sambermenitmenit ng  menunggu  menit"
"242","Positif",1,"memudahkan  berkonsultasi dg dokter tanengantri ang"
"243","Netral",0,"solutif"
"244","Netral",0,"good"
"245","Positif",2," h  alodokter otp gak masuk masuk oiiii"
"246","Positif",1,"terbaik "
"247","Netral",0,"good apps"
"248","Netral",0,"thank you"
"249","Netral",0," membantu agi   kena c"
"250","Netral",0," error  x  range    tiaberaali  ue list obat   dibeli    butuh obatobatnya"
"251","Positif",1,"bagus"
"252","Positif",1,"fast resdan jd solusi alternatif yg bagus"
"253","Netral",0,"fast respon"
"254","Positif",1,"hi develo kachat  drivers  telebisa langsung   aasi ojek online  manual sms  teleregular thank you to listen my ious insight that macist the instruction of meds and filter tanggal  janji temu dokter thank you halodoc develo"
"255","Netral",0," membantu"
"256","Netral",0,"memuaskan"
"257","Netral",0,"great aselama   dii  beli obat  membantu  u obat     ak"
"258","Netral",0,"ive already uded the medicine recihy i still have to consult before buying medicine"
"259","Netral",0,"really hell"
"260","Negatif",-1,"barang kadaluarsa   dikirim  cs  jam taobot doang edit   dibalikin sesuai invoice yg nyangkut  saldo krn refund gmn tolong  kali dicek   ak tobersa medika  jual barang udah kadaluarsa    "
"261","Netral",0,"nice acation"
"262","Netral",0,"usefull app"
"263","Positif",1,"han yg terbaik  anak kos "
"264","Netral",0," cannot remove ile  cannot delete account"
"265","Netral",0,"doctor consultation always slow in resing so  mins are running out quickly somewhat ey delivery and service fee has insurance integration"
"266","Netral",0," membantu"
"267","Netral",0,"hel"
"268","Netral",0,"aini  membantu utk berkonsultasi dgn dokter tanarus  rumah  biaya konsultasi murah"
"269","Netral",0,"ok"
"270","Positif",2,"mayan lahdi era digital gini  membantu org yg  sakit ringan taager   akdokter sukses   tingkatkan yanan  rakyat jelata  hahaha"
"271","Netral",0,"excellent i feel sick on the way to my destination e then i use halodoc i got the medicine sent to my destinatiom e halodoc is awesome"
"272","Negatif",-1," membantu  ga u antri nggu in dokter"
"273","Netral",0,"very hel"
"274","Negatif",-2,"dokternya  salah h ile  kenaaya  chat ulang"
"275","Netral",0,"cool apps"
"276","Netral",0,"harga mahal  obat"
"277","Netral",0,"hel"
"278","Positif",1,"resif  ramah"
"279","Netral",0,"very easy to use"
"280","Netral",0,"dokternya   ramahtq doksukses  "
"281","Positif",3,"meskidiantar   ongkosnya tetahitung  ak rekanan  terdekat  ak rekanan  terdekat sdang habis stok tangkos  driver gosend full sesuai jarak asli  halodoc keluarin subsidi  anyway  membantu terimakasih"
"282","Netral",0,"mudah"
"283","Netral",0,"what is wrong with the new ued ai cant order my medicine because it kesking me to ud the crin which is i did directly after i consulted with a doctor then when i ed the ent the  just brought me to do another consultation with a doctor since the aant read that my crin is already uded turns out the doctor who can give me another ued crin are all not available its leading me to unable order my medicine great please fix this"
"284","Netral",0,"toko obat  kali    alamat"
"285","Netral",0," membantu"
"286","Netral",0,"hell"
"287","Netral",0,"good job"
"288","Netral",0,"very easy to use"
"289","Negatif",-4,"obat dipesan salah kirim  alamat orang telepon customer service  dibantu respond  lambat nmr hp  email   customer service  bilang  ditelepon biar cepat  kirim email    pesan obat  mainan driver ga bertanggung   drop obat  rmh tetangga ga  konfirmasi"
"290","Netral",0,"best dokter ai indo"
"291","Netral",0,"aasi yg  membantu"
"292","Negatif",-2,"kecewa  chat  dokter   dibalas  dokter  balasan dokter  muncul muncul   restart aasi  muncul   telat  konsultasinya ditutuomatis kecewa"
"293","Netral",0,"halodoc yg   sei halodoc yg  emang  aasi indah   aja orang  suruh bayar cemereka  dana   waswas   aasi  live agent nya  resnya tunggu   kerja dana sy    ga  sy uninstall  aikin sistem kerjanya y  urgent  orang sakit gini jd ah   hati"
"294","Netral",0,"this aele a lot and its user friendly thank you"
"295","Netral",0," membantu  olog klinisnya"
"296","Netral",0,"membantu "
"297","Netral",0,"usefull and better than the other apps"
"298","Netral",0,""
"299","Negatif",-1,"aasi konsultasi halodoc   berguna   adi  tindakan   tks"
"300","Positif",1,"disaat emi   sgt membantu bangeeeet goodjob halodoc pilihan salisnya "
"301","Netral",0,"thankful  halodoc"
"302","Positif",2,"tamn  mudah dimengerti resjuga cejika dokter tdk tersedia  langsung diberitahu  memudahkan  orang  konsul dg dokter dimana   kun tanerlu mengantri "
"303","Netral",0,"oke"
"304","Positif",2,"dokternya ramah  yanan cepat"
"305","Negatif",-1," langganan  halodoc trkali coba     order obat  setiaya refresh krn  bahan alamatitem yg dibeli notes  driver hilang menyulitkan "
"306","Netral",0,"mantapp"
"307","Netral",0,"very hel and quick res also easy to use even to buy the medicine its all there  you just wait and in within mnt its already in your hand  good"
"308","Positif",2,"padat singkat    membantu minimal   tenang disaat k krn sakit terima kasih "
"309","Netral",0,"very simand hel"
"310","Netral",0," terbantu"
"311","Positif",1,"kenaeseat  bayar trus berhasil ayaran  dibatalkan"
"312","Negatif",-2,"dokternya   duitnya aja  melayani konsultasi ang ngetik jawabanya cm  coba  dokter anu coba  dokter  udah walobukan dokter salis taarusnya a  etahuan kedokteran dasar mah ngetik aek gtu  bantu en saran tindakan dasar kek sesuai ama fungsi dokter kalo cm  sekata   gtu mendingan   ama kang warung "
"313","Positif",1,"bagus"
"314","Netral",0,"halodoc good aesasaran  hasilnua memuaskan"
"315","Netral",0,"fast and good rese"
"316","Netral",0,"tis relatif murah  keluhan ringan dibanding   rs"
"317","Negatif",-1,"  lengkak alat medis nya sei bebat  kaki  keseleo"
"318","Netral",0,"very hel"
"319","Negatif",-1,"terimakasih   mudah agi terkoneksi dgn gosebagai ayarannya   asuransi kantor  tku ya  "
"320","Positif",1,"konsultasi mudah dgn dokter  dokternya ramah"
"321","Netral",0,"user friendly"
"322","Positif",1," membantu    urgent pengiriman cepat"
"323","Netral",0,"membantu "
"324","Netral",0," mudah  ce       beli obat  halodoc  mahal"
"325","Netral",0," membantu"
"326","Netral",0,"quick rese to solve the lem holly the medicine given by the doctor can makes better"
"327","Negatif",-2,"salah  aasi  membawa bahan  hiduembuat hidudi  mudah kekurangannya  terkadang suka  bugs gitu"
"328","Netral",0,"suka krn simcover insurance harga reasonable tis"
"329","Netral",0,"mantap"
"330","Netral",0,"mantap"
"331","Netral",0," chat dgn dokter  dese ak   obat yg tdk  shg dibatalkan  zonk koq disuruh chat dgn dokter  live chat  dibales ditel ga  yg angkat yanan  buruk"
"332","Netral",0,"my order has been confirmed but no driver to deliver the medication im waiting way longer than the estimated time unfortunately no real live sut team to talk with and there is only virtual assistant bot which has limited efined questions it is a bad user exence"
"333","Negatif",-1," membantu   ga bs klr ruma beli obat"
"334","Netral",0,"dokternya   "
"335","Netral",0,"resyg ce te"
"336","Netral",0," ue   tracking nan please fixing tks"
"337","Netral",0,"penjelasannya  "
"338","Netral",0,"dokter offline   tetahitung sbg transaksi  recommended"
"339","Netral",0," membantu"
"340","Netral",0,"unreliable for not haflow slow customer service turnaround"
"341","Negatif",-4," kecewa   membutuhkan obat  salah  obatnya rusak    halodoc  butuh obatnya cetetaalau kaya gn gimana service nya agi disaat sakit  butuh obat  nganannya ce bener kecewa"
"342","Netral",0,"good"
"343","Netral",0,"good"
"344","Netral",0,"iriman obat  h"
"345","Positif",6,"chat  konsul dgn dokter obat yg direkomendasikan berjalan dgn  tat  menghubungi cs astaga bnr menguji kesabaran kondisi  butuh obat seceya alamat antaran yg  h jaktim ttik   scbd jd driver ambil obat dr daerah gandaria yg menyebabkan  hrs menambah biaya kirim yg  sdh  dlm itungan   cb mnt bantuan via helnter  aan wa tslama  tdk solutif"
"346","Netral",0,"great app"
"347","Netral",0,"excellent acation  service"
"348","Netral",0,"very hel a"
"349","Netral",0,"very good apps"
"350","Netral",0,"hel  agi beian "
"351","Netral",0,"awesome"
"352","Netral",0,"pertolongan oertama    anak sakitfast rese"
"353","Netral",0,"really hel and easy to use"
"354","Positif",2,"detail     instruksi nya makasih dok semoga manjur resen sarannya   sukses  dok"
"355","Positif",1,"kemudahan  berkonsultasi  mendaan best advice  dokter   uru nusantara"
"356","Positif",1,"pengiriman via gosend instan estimasi  menit ok normal karna lumayan   ttimation timenya berhenti kalo abangnya gajalan  suka abangnya  ku  menunggu sei badut malem   tidur aungguin obat  diteldiangkat  quotes  berguna mending suruhlah adick   i halodoc"
"357","Negatif",-2,"parah main batal batalin aja nan orang gak bertanggung  dibalikin nya  saldo halo doc  gak  rekening langsung  abuat belanja  kasaya  aasi halo doc"
"358","Netral",0,"aini  membantu  works really well proses konsultasi  dokter   mudah    samerian resen olokasi busan reserdekat lengkaserta harganya thumbs up"
"359","Netral",0,"good"
"360","Netral",0,"very hel  easy to use"
"361","Netral",0,"usefull"
"362","Netral",0,"mantul"
"363","Netral",0,"error mulu"
"364","Negatif",-3," jelek exence nya obat  dadies disuruh coba  berulang kali  menit ga   virtual assistant  bikin frustasi ga  hannya"
"365","Netral",0,"mudah  cesamorder obatnya"
"366","Positif",2,"overall bagus dokter komunikatif   hel   ayaran  link aja terkadang suka error     dana etc"
"367","Negatif",-3,"mengecewakan disaat yg salah dokternya jd en yg nanggung akibatnya  en tinggal klik keranjang gak tau yg dikasih beraty obatnya gak  info alhasil nahan sakit dr semalem  h  sih   halodoc udah gitu lambat banget nanganin comn"
"368","Netral",0,"enak i aasi  simga ribet  solitif"
"369","Positif",1," membantu  halodoc thanks halodoc dokternya  ramah  hel"
"370","Netral",0,"the best virtual doctor apps"
"371","Netral",0,"user friendly"
"372","Positif",1,"  menerima pesanan tp   terkirim"
"373","Netral",0,"cant chat the doctor due to an error when i need it the most"
"374","Negatif",-2,"pengalaman  buruk    konsultasi  "
"375","Netral",0,"goood"
"376","Netral",0,"this aas ty good and user friendly"
"377","Netral",0,"aasi yg  "
"378","Positif",1,"aasi yg bagus  semoga   dikembangkan"
"379","Positif",1," bangga a aasi halodoc"
"380","Netral",0,"obat yg   dibeli tbtb  disertakan reseeli obat  halodoc skrg siulit beli obat mesti bayar lg  chat dokter   direse  gak  ongkir  mahal udah bye deh halodoc"
"381","Netral",0," membantu tada ongkir  obat lumayan ya"
"382","Netral",0," kali  aasi  cukumbantu utk kota  yg terbatas dokter salisnya    libur   n"
"383","Netral",0,"makasih"
"384","Positif",1,"simrfull  lancartl lakukan inovasi"
"385","Netral",0," membantu    membutuhkan konsultasi dr  mencari obat"
"386","Negatif",-2,"lemot hang"
"387","Netral",0,"cukuas"
"388","Netral",0,"welldone halo doc "
"389","Positif",1," turan  telat  menit konsultasi uang langsung hangus   dibantu  dijadwalkan ulang  dikembalikan uangnya"
"390","Netral",0,"good"
"391","Netral",0,"bagus  lemot  lag  android"
"392","Netral",0," to halodoc  livin mandirikok  aasi ndak  han  ayaran "
"393","Negatif",-2,"error  udh ganti ileteterbaca yg ary jd keng saldo xrb sia sia  konsul utk anak  mnta surat ijin  dokter jd ga  trs krn  sistem  digital "
"394","Netral",0,"layanan cedan murah"
"395","Netral",0,"ok"
"396","Netral",0,"good hel user friendly"
"397","Netral",0,"layanan cedan "
"398","Netral",0,"dokternya  membantu  detail   kondisi en"
"399","Netral",0,"average"
"400","Positif",2,"dana refund amoe berbulanbulan  gak masuk gimana dah  trus   beli obat udah gabisa   jam  aja  order  gabisa yaudah  semoga berkah duit   gak "
"401","Positif",3,"bantuan tis mudah cemurah  efektif terima kasih halodoc"
